Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-05T11:21:26.678590,513,0,37,35,0,31202,13027,7756,2.3952,0.1754,9719.53,8603.92,15505.84,1.1297,0.8462,
2026-05-05T11:21:27.680567,504,0,20,34,0,71667,27337,15677,2.6216,0.1583,31167.03,11739.81,18008.68,2.6548,0.4197,
2026-05-05T11:21:28.682101,523,0,48,29,0,35392,20645,20445,1.7143,0.3648,16879.27,19026.8,22029.3,0.8871,0.6135,
2026-05-05T11:21:29.683605,513,0,56,29,0,19769,30284,26151,0.6528,0.5225,8492.93,4698.5,13538.31,1.8076,1.0263,
2026-05-05T11:21:30.686665,511,0,93,44,0,28952,34386,15308,0.842,0.2417,14076.02,5407.22,10997.97,2.6032,0.5645,
2026-05-05T11:21:31.688037,498,0,93,51,0,17391,6896,13477,2.5219,0.5549,11150.99,9125.62,23775.39,1.2219,1.1726,
2026-05-05T11:21:32.689231,529,0,100,48,0,13033,28554,11351,0.4564,0.2729,15859.72,3925.38,31696.13,4.0403,1.602,
2026-05-05T11:21:33.694276,514,0,100,56,0,41629,16584,15258,2.5102,0.2621,40639.15,18444.23,17461.98,2.2034,0.2955,
2026-05-05T11:21:34.697477,492,0,100,51,0,133161,44043,15579,3.0234,0.0879,11998.74,11890.13,7182.01,1.0091,0.3006,
2026-05-05T11:21:35.700631,525,0,81,43,0,21868,20517,12191,1.0658,0.2876,1256708.4,116543.58,18072.2,10.7832,0.0132,
2026-05-05T11:21:36.702041,524,0,77,51,0,41544,3052,4100,13.6121,0.0919,27481.85,30171.32,10804.86,0.9109,0.1874,
2026-05-05T11:21:37.707565,513,0,51,27,0,74515,8243,6475,9.0398,0.0782,101173.8,47216.33,11684.42,2.1428,0.0787,
2026-05-05T11:21:38.709532,506,0,30,21,0,68127,46779,20111,1.4564,0.175,14012.96,9987.69,15723.74,1.403,0.6551,
2026-05-05T11:21:39.711132,522,0,37,26,0,99270,37523,13572,2.6456,0.0992,6369.59,5464.5,6920.46,1.1656,0.5848,
2026-05-05T11:21:40.713148,514,0,13,23,0,30318,17383,14585,1.7441,0.3058,575680.88,21327.99,10702.06,26.9918,0.0179,
2026-05-05T11:21:41.717255,513,0,29,37,0,6759,2064,1248,3.2747,0.1414,44745.27,4070.72,15825.23,10.992,0.3242,
2026-05-05T11:21:42.721024,513,0,40,43,0,46165,22126,16697,2.0865,0.2445,28293.87,6713.27,22279.98,4.2146,0.6364,
2026-05-05T11:21:43.722736,514,0,54,38,0,15121,7756,9451,1.9496,0.4131,63138.38,14992.09,8350.23,4.2114,0.1069,
2026-05-05T11:21:44.724071,513,0,84,38,0,64149,25656,24571,2.5004,0.2736,89146.67,34728.5,78170.99,2.567,0.631,
2026-05-05T11:21:45.727880,489,0,67,37,0,51399,17895,4975,2.8723,0.0718,190509.68,25560.34,19458.96,7.4533,0.0901,
2026-05-05T11:21:46.729808,536,0,48,38,0,35078,43449,47182,0.8073,0.6008,107357.89,25542.37,60849.77,4.2031,0.4579,
2026-05-05T11:21:47.739340,517,0,38,41,0,149895,46261,75741,3.2402,0.3861,26115.21,24766.51,55227.11,1.0545,1.0854,
2026-05-05T11:21:48.741019,512,0,60,38,0,52016,111385,15012,0.467,0.0919,39215.84,15181.11,7423.36,2.5832,0.1365,
2026-05-05T11:21:49.743075,504,0,60,38,0,52016,111385,15012,0.467,0.0919,59741.88,18024.01,16747.78,3.3146,0.2154,
2026-05-05T11:21:50.744584,524,0,91,51,0,82057,22454,5601,3.6544,0.0536,460046.39,20356.59,18551.35,22.5994,0.0386,
2026-05-05T11:21:51.749218,511,0,64,47,0,179140,50346,38525,3.5582,0.1679,472551.44,50984.4,82935.61,9.2685,0.1584,
2026-05-05T11:21:52.753947,496,0,64,47,0,179140,50346,38525,3.5582,0.1679,1182334.21,254456.17,199132.26,4.6465,0.1386,
2026-05-05T11:21:53.757328,530,0,56,26,0,45774,17867,6897,2.5619,0.1084,927382.53,48952.51,34171.3,18.9445,0.035,
2026-05-05T11:21:54.759259,519,0,38,24,0,68993,10905,14875,6.3267,0.1862,274483.48,84663.57,64803.92,3.242,0.1804,
2026-05-05T11:21:55.761926,513,0,64,20,0,409369,173672,25067,2.3571,0.043,1306143.86,67144.12,41122.22,19.4528,0.0299,
2026-05-05T11:21:56.763606,512,0,44,23,0,117257,27881,12156,4.2056,0.0838,84405.16,8967.54,5565.43,9.4123,0.0596,
2026-05-05T11:21:57.765544,515,0,43,29,0,218039,25108,18245,8.684,0.075,267497.13,31790.59,41614.82,8.4143,0.139,
2026-05-05T11:21:58.767438,511,0,30,20,0,101759,67080,35666,1.517,0.2112,566108.78,144291.07,32317.47,3.9234,0.0455,
2026-05-05T11:21:59.769427,514,0,27,29,0,123889,20544,39532,6.0304,0.2737,14933.29,19178.56,37606.84,0.7786,1.1025,
2026-05-05T11:22:00.771162,497,0,56,21,0,116101,55885,34445,2.0775,0.2003,589193.6,60048.89,29100.8,9.8119,0.0448,
2026-05-05T11:22:01.772744,526,0,66,26,0,3334,6323,1996,0.5273,0.2067,26564.29,39916.37,33069.31,0.6655,0.4974,
2026-05-05T11:22:02.774676,516,0,84,44,0,11662,18824,12557,0.6195,0.4119,174734.52,86708.63,26293.7,2.0152,0.1006,
2026-05-05T11:22:03.776736,468,0,84,44,0,11662,18824,12557,0.6195,0.4119,65899.98,38755.63,30012.92,1.7004,0.2868,
2026-05-05T11:22:04.778504,558,0,74,61,0,36358,14772,20124,2.4613,0.3936,13634.35,21152.3,27475.69,0.6446,0.7898,
2026-05-05T11:22:05.780721,509,0,69,60,0,26007,18108,12193,1.4362,0.2764,30879.55,7814.85,12618.93,3.9514,0.3261,
2026-05-05T11:22:06.782907,518,0,67,53,0,7375,18129,17263,0.4068,0.6769,2724.42,9383.85,17727.16,0.2903,1.4641,
2026-05-05T11:22:07.784829,481,0,67,53,0,7375,18129,17263,0.4068,0.6769,68152.68,18217.29,14226.5,3.7411,0.1647,
2026-05-05T11:22:08.786426,536,0,91,50,0,124451,53921,41733,2.308,0.234,111967.02,12485.4,17861.6,8.9678,0.1435,
2026-05-05T11:22:09.787975,521,0,75,50,0,285330,95077,42835,3.001,0.1126,161301.36,52423.58,28973.16,3.0769,0.1356,
2026-05-05T11:22:10.790162,513,0,53,47,0,36610,87408,29189,0.4188,0.2354,23383.08,5266.2,16137.45,4.4402,0.5633,
2026-05-05T11:22:11.791937,501,0,35,50,0,11294,35804,19205,0.3154,0.4078,9854.62,8522.58,14480.27,1.1563,0.7879,
2026-05-05T11:22:12.793677,524,0,30,56,0,51439,12617,14885,4.077,0.2324,589114.75,46309.53,22151.27,12.7212,0.0349,
2026-05-05T11:22:13.795286,513,0,51,51,0,74972,43936,31111,1.7064,0.2616,185182.32,25699.63,18606.2,7.2056,0.0882,
2026-05-05T11:22:14.796857,512,0,75,54,0,9863,5477,25879,1.8008,1.687,505139.56,120141.6,22507.94,4.2045,0.036,
2026-05-05T11:22:15.802694,517,0,93,38,0,169273,14317,14293,11.8232,0.0779,137581.94,5968.18,32583.54,23.0526,0.227,
2026-05-05T11:22:16.804014,513,0,77,17,0,25829,12225,1718,2.1128,0.0451,3826.1,6932.88,6705.21,0.5519,0.6232,
2026-05-05T11:22:17.805653,512,0,50,24,0,15188,27559,19035,0.5511,0.4453,23590.1,4359.44,8740.93,5.4113,0.3127,
2026-05-05T11:22:18.807659,483,0,47,29,0,17852,14573,9159,1.225,0.2825,20141.54,8128.5,12504.59,2.4779,0.4423,
2026-05-05T11:22:19.809412,543,0,29,40,0,30889,10523,1176,2.9354,0.0284,935188.11,37202.64,5266.52,25.1377,0.0054,
2026-05-05T11:22:20.811346,513,0,20,50,0,37106,47616,20823,0.7793,0.2458,57096.83,21238.63,15590.65,2.6883,0.199,
2026-05-05T11:22:21.813070,513,0,37,54,0,239608,139770,37894,1.7143,0.0999,162404.24,51080.76,16228.82,3.1794,0.076,
2026-05-05T11:22:22.814911,499,0,20,51,0,69294,17192,8255,4.0306,0.0954,2928874.0,102216.14,51839.12,28.6537,0.0171,
2026-05-05T11:22:23.816851,522,0,1,44,0,63588,10880,16029,5.8445,0.2152,72504.87,31335.36,31271.51,2.3138,0.3012,
2026-05-05T11:22:24.818244,518,0,24,38,0,6698,5815,6463,1.1518,0.5165,27741.99,24967.46,23375.95,1.1111,0.4435,
2026-05-05T11:22:25.819902,508,0,30,35,0,86306,54177,19656,1.593,0.1399,98394.99,11277.04,12535.0,8.7253,0.1143,
2026-05-05T11:22:26.822087,518,0,30,35,0,34087,18485,6829,1.844,0.1299,44781.49,12267.61,21140.01,3.6504,0.3706,
2026-05-05T11:22:27.823374,513,0,26,40,0,5496,4416,3498,1.2446,0.3529,133690.62,3280.96,10546.67,40.7474,0.077,
2026-05-05T11:22:28.824914,513,0,37,50,0,25191,19432,15161,1.2964,0.3398,12326.04,9643.61,12927.26,1.2782,0.5884,
2026-05-05T11:22:29.826694,487,0,38,50,0,23539,9331,13146,2.5227,0.3999,27134.19,5487.91,16364.79,4.9444,0.5016,
2026-05-05T11:22:30.830756,536,0,61,47,0,4089,1117,5871,3.6607,1.1277,3457.14,2479.07,34500.16,1.3945,5.8118,
2026-05-05T11:22:31.832494,505,0,100,35,0,31927,27786,9869,1.149,0.1653,13598.3,6578.15,26050.87,2.0672,1.2912,
2026-05-05T11:22:32.834194,524,0,84,38,0,44082,28679,21929,1.5371,0.3014,69707.21,29455.53,22670.97,2.3665,0.2286,
2026-05-05T11:22:33.836347,502,0,80,37,0,31590,45315,13407,0.6971,0.1743,73428.13,17354.25,13602.24,4.2311,0.1498,
2026-05-05T11:22:34.837683,524,0,64,47,0,5170,9733,7723,0.5312,0.5182,4498.35,7530.57,9251.51,0.5973,0.7691,
2026-05-05T11:22:35.840140,511,0,54,60,0,99449,55901,8388,1.779,0.054,1283932.86,236056.92,17865.33,5.4391,0.0118,
2026-05-05T11:22:36.841858,500,0,43,57,0,6375,3033,7599,2.1019,0.8077,18776.54,16492.52,14805.99,1.1385,0.4198,
2026-05-05T11:22:37.843704,528,0,43,53,0,51290,9407,7750,5.4523,0.1277,1880704.54,165677.54,11932.59,11.3516,0.0058,
2026-05-05T11:22:38.845698,513,0,37,40,0,22301,8302,7189,2.6862,0.2349,9243.76,2375.3,9722.48,3.8916,0.8368,
2026-05-05T11:22:39.847932,513,0,27,30,0,16795,5722,4298,2.9352,0.1909,1901.08,1950.54,7091.6,0.9746,1.8412,
2026-05-05T11:22:40.849848,475,0,41,27,0,21958,7022,8448,3.127,0.2915,6562.65,3593.67,4801.29,1.8262,0.4727,
2026-05-05T11:22:41.851162,551,0,43,27,0,38025,10116,5677,3.7589,0.1179,13078.93,11417.68,4850.43,1.1455,0.198,
2026-05-05T11:22:42.852889,513,0,56,30,0,11304,4243,3714,2.6642,0.2389,1518273.52,70912.46,13650.37,21.4105,0.0086,
2026-05-05T11:22:43.854727,512,0,57,30,0,10625,12626,5277,0.8415,0.227,14875.89,8096.16,6931.71,1.8374,0.3017,
