Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-21T12:09:53.831836,513,0,63,67,0,68251,31521,14796,2.1653,0.1483,475347.47,90022.06,32510.15,5.2803,0.0575,
2026-05-21T12:09:54.839262,489,0,50,69,0,58241,10382,5527,5.6098,0.0805,372599.02,65271.89,103938.63,5.7084,0.2374,
2026-05-21T12:09:55.840729,540,0,11,66,0,298113,45045,19163,6.6181,0.0558,491402.23,55865.63,54409.53,8.7961,0.0994,
2026-05-21T12:09:56.842625,514,0,8,56,0,7357,9720,1734,0.7569,0.1015,252000.26,90661.24,53460.99,2.7796,0.156,
2026-05-21T12:09:57.844908,510,0,1,53,0,51477,29042,20019,1.7725,0.2486,523657.73,54959.65,67760.41,9.528,0.1171,
2026-05-21T12:09:58.845945,516,0,1,54,0,85039,49369,17938,1.7225,0.1335,359049.96,48929.9,26470.02,7.338,0.0649,
2026-05-21T12:09:59.847017,513,0,13,64,0,499187,75615,27082,6.6017,0.0471,2117238.19,1355221.04,978829.93,1.5623,0.2819,
2026-05-21T12:10:00.848038,512,0,17,64,0,25566,1939,7211,13.1851,0.2622,146713.72,45268.45,25860.14,3.241,0.1347,
2026-05-21T12:10:01.849265,513,0,29,37,0,15632,15752,30179,0.9924,0.9616,462623.78,82676.37,52018.5,5.5956,0.0954,
2026-05-21T12:10:02.850123,511,0,48,35,0,120203,30033,9767,4.0024,0.065,92431.01,28611.85,54224.4,3.2305,0.448,
2026-05-21T12:10:03.851448,514,0,41,27,0,39215,30713,15946,1.2768,0.228,152771.82,31568.05,101857.09,4.8394,0.5526,
2026-05-21T12:10:04.852534,511,0,47,41,0,91729,24999,23051,3.6693,0.1975,383616.41,70486.52,28604.8,5.4424,0.063,
2026-05-21T12:10:05.853474,514,0,40,54,0,119085,27158,8075,4.3849,0.0552,89805.01,11508.71,24901.47,7.8032,0.2458,
2026-05-21T12:10:06.855085,509,0,1,50,0,67421,11455,4881,5.8857,0.0619,22975.61,12931.24,10172.4,1.7768,0.2833,
2026-05-21T12:10:07.858722,508,0,1,47,0,40353,36360,14134,1.1098,0.1842,46278.71,14435.68,26245.78,3.2059,0.4323,
2026-05-21T12:10:08.873878,505,0,3,47,0,36973,19997,16167,1.8489,0.2838,107087.77,22017.01,12595.57,4.8639,0.0976,
2026-05-21T12:10:09.875772,525,0,20,51,0,46854,29367,18503,1.5955,0.2428,16772.03,10274.47,16914.02,1.6324,0.6254,
2026-05-21T12:10:10.876672,525,0,41,57,0,86445,25367,21779,3.4078,0.1948,206123.04,38843.2,21027.95,5.3065,0.0858,
2026-05-21T12:10:11.884661,502,0,64,61,0,139065,24156,15028,5.757,0.0921,330629.26,27018.07,43905.02,12.2373,0.1228,
2026-05-21T12:10:12.885620,523,0,26,43,0,784403,56556,62127,13.8695,0.0739,526954.67,46997.56,36161.12,11.2124,0.063,
2026-05-21T12:10:13.889060,506,0,26,43,0,784403,56556,62127,13.8695,0.0739,3044590.86,185015.49,109578.52,16.4559,0.0339,
2026-05-21T12:10:14.890177,520,0,8,29,0,10731,12842,3227,0.8356,0.1369,784285.87,37921.33,19090.5,20.6819,0.0232,
2026-05-21T12:10:15.891353,505,0,8,29,0,10731,12842,3227,0.8356,0.1369,1067595.04,104134.28,35439.26,10.2521,0.0302,
2026-05-21T12:10:16.892372,520,0,10,53,0,496622,298010,29373,1.6665,0.037,729959.11,138136.26,29566.89,5.2843,0.0341,
2026-05-21T12:10:17.894264,513,0,3,74,0,133662,80512,35762,1.6602,0.167,32935.52,21398.83,23499.24,1.5391,0.4325,
2026-05-21T12:10:18.895289,512,0,1,75,0,152299,43330,21640,3.5149,0.1106,48353.65,20034.75,17901.01,2.4135,0.2618,
2026-05-21T12:10:19.896937,512,0,1,63,0,79308,12612,7367,6.2883,0.0801,1725602.94,108740.17,47089.27,15.869,0.0257,
2026-05-21T12:10:20.898939,515,0,1,53,0,33065,64321,15854,0.5141,0.1628,31644.73,28234.35,21066.93,1.1208,0.3518,
2026-05-21T12:10:21.899948,512,0,8,61,0,49974,68586,14599,0.7286,0.1231,25184.16,24043.84,8577.6,1.0474,0.1742,
2026-05-21T12:10:22.901300,515,0,16,69,0,207859,41684,37880,4.9865,0.1518,1443374.02,190355.06,24279.4,7.5825,0.0149,
2026-05-21T12:10:23.902661,513,0,16,66,0,46716,44168,25279,1.0577,0.2781,73651.06,23531.07,23345.67,3.1299,0.2402,
2026-05-21T12:10:24.906540,506,0,37,78,0,59110,37197,24867,1.5891,0.2582,736897.52,95228.28,166206.34,7.7382,0.1997,
2026-05-21T12:10:25.908267,522,0,40,67,0,560228,110044,41064,5.0909,0.0613,200447.55,142740.16,76666.64,1.4043,0.2234,
2026-05-21T12:10:26.909540,511,0,26,51,0,413436,250666,102335,1.6494,0.1541,1179660.51,275827.65,302114.39,4.2768,0.2076,
2026-05-21T12:10:27.910622,513,0,38,61,0,63735,22808,19690,2.7944,0.2275,929275.61,208847.71,68727.79,4.4495,0.0604,
2026-05-21T12:10:28.911924,511,0,34,54,0,66143,35073,73925,1.8859,0.7304,71678.04,23410.33,129413.86,3.0618,1.361,
2026-05-21T12:10:29.912902,514,0,48,50,0,153030,59960,47187,2.5522,0.2215,77169.32,55904.8,44453.78,1.3804,0.3341,
2026-05-21T12:10:30.914106,513,0,57,54,0,175102,29414,24852,5.953,0.1215,17667.62,3294.11,14169.83,5.3634,0.676,
2026-05-21T12:10:31.915077,492,0,57,54,0,175102,29414,24852,5.953,0.1215,423603.32,100190.32,12862.14,4.228,0.0246,
2026-05-21T12:10:32.918386,534,0,43,44,0,48807,11207,4844,4.355,0.0807,832476.98,182648.62,26722.57,4.5578,0.0263,
2026-05-21T12:10:33.919944,514,0,14,41,0,469800,141086,132928,3.3299,0.2176,346725.02,248378.02,69607.54,1.396,0.117,
2026-05-21T12:10:34.921296,512,0,14,40,0,17229,7325,4165,2.3521,0.1696,2157437.19,383510.52,74173.31,5.6255,0.0292,
2026-05-21T12:10:35.922370,513,0,20,48,0,224462,66125,30035,3.3945,0.1034,84107.96,10593.38,41255.17,7.9397,0.4356,
2026-05-21T12:10:36.923380,510,0,26,47,0,23520,28869,9399,0.8147,0.1794,194977.33,45093.77,28860.43,4.3238,0.1202,
2026-05-21T12:10:37.929350,519,0,38,60,0,21354,8697,3974,2.4553,0.1322,89303.12,22187.46,74778.18,4.0249,0.6707,
2026-05-21T12:10:38.931000,489,0,35,63,0,167124,46519,19277,3.5926,0.0902,126696.39,46392.75,20834.44,2.731,0.1204,
2026-05-21T12:10:39.931866,534,0,27,61,0,41388,7399,8799,5.5937,0.1804,688656.28,141291.49,188477.46,4.874,0.2271,
2026-05-21T12:10:40.933031,511,0,37,54,0,62172,5950,7022,10.4491,0.1031,316246.58,54597.51,17450.62,5.7923,0.0471,
2026-05-21T12:10:41.934354,504,0,27,34,0,9211,11913,8108,0.7732,0.3838,198390.02,41617.74,38507.02,4.767,0.1604,
2026-05-21T12:10:42.936410,525,0,50,40,0,51405,19319,29323,2.6609,0.4146,13217.33,9649.41,24280.6,1.3698,1.0618,
2026-05-21T12:10:43.937903,502,0,78,40,0,74158,19782,6841,3.7488,0.0728,595225.04,27068.78,37896.68,21.9894,0.0609,
2026-05-21T12:10:44.939241,524,0,57,44,0,28760,20030,7898,1.4358,0.1619,371583.4,80016.04,21733.83,4.6439,0.0481,
2026-05-21T12:10:45.940258,503,0,66,61,0,108999,33205,33668,3.2826,0.2368,32999.6,15159.52,7699.81,2.1768,0.1599,
2026-05-21T12:10:46.941431,521,0,51,53,0,46028,5554,4586,8.2874,0.0889,156629.27,17945.08,20165.85,8.7283,0.1155,
2026-05-21T12:10:47.942477,505,0,23,44,0,47500,8507,8318,5.5836,0.1485,65400.08,41638.86,25463.66,1.5706,0.2379,
2026-05-21T12:10:48.943680,519,0,27,40,0,44037,73968,28946,0.5954,0.2453,83245.25,22349.92,37961.3,3.7246,0.3595,
2026-05-21T12:10:49.947847,513,0,37,47,0,15121,22029,21450,0.6864,0.5774,6633.99,13603.95,20037.92,0.4877,0.9901,
2026-05-21T12:10:50.948924,515,0,48,54,0,82106,81727,37258,1.0046,0.2274,318691.91,28001.14,18956.38,11.3814,0.0547,
2026-05-21T12:10:51.955699,506,0,51,74,0,23605,6774,5543,3.4846,0.1825,1012843.49,76482.93,9349.01,13.2427,0.0086,
2026-05-21T12:10:52.956858,521,0,61,77,0,12738,8298,4904,1.5351,0.2331,184223.74,9957.87,16649.1,18.5003,0.0857,
2026-05-21T12:10:53.957932,514,0,61,67,0,70352,29796,4316,2.3611,0.0431,900429.11,58132.07,13277.02,15.4894,0.0139,
2026-05-21T12:10:54.959231,488,0,26,64,0,41175,16846,15686,2.4442,0.2704,336305.3,53955.81,64284.14,6.233,0.1647,
2026-05-21T12:10:55.960602,537,0,34,56,0,115221,16065,2775,7.1722,0.0211,20392.06,5418.16,10767.97,3.7637,0.4172,
2026-05-21T12:10:56.961790,513,0,11,51,0,10491,8058,3920,1.3019,0.2113,400985.74,61148.43,10960.18,6.5576,0.0237,
