Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-05T10:52:32.975016,482,0,57,37,0,12567,14003,9364,0.8975,0.3524,20119.2,11675.22,9418.77,1.7232,0.2962,
2026-05-05T10:52:33.976905,546,0,67,43,0,11147,68725,9755,0.1622,0.1221,20616.74,6228.34,13284.76,3.3102,0.4949,
2026-05-05T10:52:34.979153,513,0,66,69,0,23941,10724,7525,2.2325,0.2171,28490.68,23824.1,7595.43,1.1959,0.1452,
2026-05-05T10:52:35.980950,512,0,70,66,0,12040,25862,11328,0.4655,0.2989,30803.31,15415.44,27050.71,1.9982,0.5853,
2026-05-05T10:52:36.987670,498,0,74,74,0,59634,27719,13634,2.1514,0.1561,4210.08,4446.3,11264.07,0.9469,1.3012,
2026-05-05T10:52:37.989333,519,0,60,67,0,4565,4661,4650,0.9794,0.504,51893.84,12466.47,3775.57,4.1627,0.0587,
2026-05-05T10:52:38.990528,524,0,78,51,0,24337,5465,2765,4.4532,0.0928,12851.86,8658.73,8510.71,1.4843,0.3957,
2026-05-05T10:52:39.992376,490,0,74,48,0,11891,9441,9554,1.2595,0.4479,10929.48,2843.11,3991.04,3.8442,0.2898,
2026-05-05T10:52:40.994107,535,0,74,40,0,27241,3226,1507,8.4442,0.0495,15007.16,11896.51,13597.71,1.2615,0.5054,
2026-05-05T10:52:41.995607,515,0,66,29,0,6323,10488,14892,0.6029,0.8858,54756.87,18249.35,17060.26,3.0005,0.2337,
2026-05-05T10:52:42.997219,513,0,66,29,0,75999,18031,13084,4.2149,0.1391,22338.09,5296.06,7298.73,4.2179,0.2641,
2026-05-05T10:52:43.999368,481,0,61,29,0,17547,6365,4441,2.7568,0.1857,6141.79,3027.71,6430.88,2.0285,0.7013,
2026-05-05T10:52:45.001287,545,0,57,26,0,6635,6805,12581,0.975,0.9361,25016.27,9583.63,21901.8,2.6103,0.633,
2026-05-05T10:52:46.003148,513,0,80,37,0,23893,21433,11157,1.1148,0.2462,837143.58,72533.48,5401.48,11.5415,0.0059,
2026-05-05T10:52:47.004907,510,0,67,38,0,13386,4981,2834,2.6874,0.1543,13569.97,5818.62,5782.91,2.3322,0.2983,
2026-05-05T10:52:48.006827,501,0,61,41,0,3162,3397,5080,0.9308,0.7745,16396.79,9121.5,10382.7,1.7976,0.4069,
2026-05-05T10:52:49.008584,527,0,77,43,0,92142,35891,14068,2.5673,0.1099,732402.56,153445.94,15859.47,4.773,0.0179,
2026-05-05T10:52:50.009964,514,0,57,43,0,28458,7325,2425,3.8851,0.0678,1255440.71,92411.4,45815.83,13.5853,0.034,
2026-05-05T10:52:51.012131,478,0,41,35,0,18431,25043,8102,0.736,0.1864,1215363.39,23815.85,23301.05,51.0317,0.0188,
2026-05-05T10:52:52.016841,548,0,56,43,0,79002,23268,8476,3.3953,0.0829,109337.7,35123.94,16817.48,3.1129,0.1164,
2026-05-05T10:52:53.019053,514,0,29,41,0,7540,1112,700,6.7806,0.0809,12417.37,6348.53,14298.03,1.9559,0.7619,
2026-05-05T10:52:54.021199,512,0,23,34,0,10486,19257,9098,0.5445,0.3059,12566.71,8670.47,8045.1,1.4494,0.3788,
2026-05-05T10:52:55.022738,482,0,50,47,0,12751,6026,6592,2.116,0.3511,4983.07,1007.78,2724.43,4.9446,0.4548,
