Timestamp,MuestrasEnVentana,MuestrasRuidosas,Attention,Meditation,PoorSignal,Theta_ASIC,Alpha_ASIC,Beta_ASIC,CLI_ASIC,Eng_ASIC,Theta_FFT_filt,Alpha_FFT_filt,Beta_FFT_filt,CLI_FFT_filt,Eng_FFT_filt,Marcador
2026-05-21T12:28:15.550612,514,0,44,90,0,229109,189009,35744,1.2122,0.0855,21133.61,4335.2,25337.3,4.8749,0.9948,
2026-05-21T12:28:16.552020,525,0,30,87,0,37721,7253,42724,5.2007,0.95,857517.16,222290.77,112563.69,3.8576,0.1042,
2026-05-21T12:28:17.553510,501,0,51,63,0,10177,25182,7677,0.4041,0.2171,939326.31,287088.35,88170.67,3.2719,0.0719,
2026-05-21T12:28:18.606082,523,0,48,88,0,421841,81956,74151,5.1472,0.1472,231664.39,21971.34,21535.04,10.5439,0.0849,
2026-05-21T12:28:19.609416,531,0,47,61,0,52092,33544,58427,1.5529,0.6823,10690.89,65052.04,36062.13,0.1643,0.4761,
2026-05-21T12:28:20.610389,519,0,61,48,0,249180,48015,12968,5.1896,0.0436,106076.68,19598.22,60217.85,5.4126,0.4792,
2026-05-21T12:28:21.612311,517,0,26,54,0,5071,4998,4148,1.0146,0.412,215722.07,14978.76,64503.71,14.4019,0.2796,
2026-05-21T12:28:22.613738,512,0,43,40,0,57456,45310,11698,1.2681,0.1138,126350.88,25354.55,24974.29,4.9834,0.1646,
2026-05-21T12:28:23.618599,505,0,38,57,0,109048,14684,28599,7.4263,0.2311,319627.24,35961.21,20854.88,8.8881,0.0586,
2026-05-21T12:28:24.620695,521,0,34,43,0,91750,63238,23608,1.4509,0.1523,30467.99,28034.07,33682.56,1.0868,0.5758,
2026-05-21T12:28:25.621667,515,0,50,60,0,20509,20156,6368,1.0175,0.1566,649387.11,13043.37,24515.1,49.7868,0.037,
2026-05-21T12:28:26.623037,512,0,40,64,0,51936,16395,14799,3.1678,0.2166,167466.93,12149.58,9966.71,13.7838,0.0555,
2026-05-21T12:28:27.624696,500,0,30,51,0,64966,78212,22840,0.8306,0.1595,446078.05,10308.68,19405.12,43.2721,0.0425,
2026-05-21T12:28:28.627359,521,0,29,81,0,12233,10728,2569,1.1403,0.1119,6042.91,7922.06,19741.36,0.7628,1.4136,
2026-05-21T12:28:29.629292,505,0,24,84,0,63465,22168,18875,2.8629,0.2204,596000.73,35512.08,20603.18,16.783,0.0326,
2026-05-21T12:28:30.631179,527,0,27,69,0,28766,14004,7596,2.0541,0.1776,349879.99,82474.4,25182.63,4.2423,0.0582,
2026-05-21T12:28:31.632189,502,0,41,77,0,115994,21113,43008,5.494,0.3137,24242.75,17319.48,14472.88,1.3997,0.3482,
